scenario,radius,radial_step,angular_step,polar_total,cartesian_grid_total,absolute_difference,relative_difference,jacobian_rule,warning
medium_polar_grid,3.0,0.5,0.1308996938995747,266.3560275620475,264.9641514986206,1.3918760634268779,0.005225622548011012,dA = r dr dtheta,Polar Jacobian factor r included; compare domain and resolution assumptions.
fine_polar_grid,3.0,0.25,0.06544984694978735,265.3186533521578,260.6820171075384,4.63663624461941,0.017475726587776685,dA = r dr dtheta,Polar Jacobian factor r included; compare domain and resolution assumptions.
very_fine_polar_grid,3.0,0.125,0.032724923474893676,265.0586514282266,263.4131744951234,1.6454769331031684,0.006207972930658088,dA = r dr dtheta,Polar Jacobian factor r included; compare domain and resolution assumptions.
